;article_title;link;date;time
0;Исследование: на Земле почти не осталось мест без опасного загрязнения воздуха;https://knife.media/no-safe-place/;16:06;7 марта
1;Британские зоозащитники предложили ресторанам подавать блюда из белок. Это поможет экологии;https://knife.media/tasty-squirrel/;14:26;7 марта
2;Япония пересчитала свои острова. Их оказалось на семь тысяч больше, чем раньше;https://knife.media/japan-islands/;14:04;7 марта
3;Археологи нашли сфинкса с лицом римского императора Клавдия;https://knife.media/roman-sphinx/;13:12;7 марта
4;Ученые заставили раковые клетки бороться против рака;https://knife.media/cancer-cells-against-cancer/;12:48;7 марта
5;Исследование: рост людей не менялся последние 2000 лет;https://knife.media/human-height/;22:57;6 марта
6;К 2035 году больше половины людей на планете будут иметь лишний вес;https://knife.media/overweight/;19:54;6 марта
7;Исследование: древние животные заразились гриппом от рыб;https://knife.media/seaborn-flu/;19:30;6 марта
8;Теннесси стал первым штатом, где запретили дрэг-шоу;https://knife.media/ban-drag/;19:22;6 марта
9;У чернобыльских собак появились уникальные изменения ДНК;https://knife.media/chernobyl-dogs/;19:08;6 марта
10;Нейросети научились визуализировать мысли человека по активности мозга;https://knife.media/brain-activity-images/;15:15;6 марта
11;В Англии нашли гребень для волос из человеческого черепа. Его сделали две тысячи лет назад;https://knife.media/bone-comb/;15:15;6 марта
12;Ученые создали съедобные датчики для мониторинга здоровья;https://knife.media/edible-electronics/;14:49;6 марта
13;Исследование: чтобы сжечь калории от бокала пива, нужно пройти 5000 шагов;https://knife.media/alcohol-steps/;13:54;6 марта
14;Ученые придумали рецепт космического салата. Его ингредиенты можно вырастить на МКС;https://knife.media/space-salad/;13:45;6 марта
15;В Армении проведут симуляцию высадки человека на Марс;https://knife.media/armenia-mars/;13:27;6 марта
16;Во Франции при строительстве школы нашли средневековую могилу держащихся за руки матери и ребенка;https://knife.media/medieval-mom/;13:21;6 марта
17;Огромное доисторическое насекомое случайно обнаружили в супермаркете;https://knife.media/prehistoric-insect/;13:08;6 марта
18;Американская певица после операции потеряла голос и заговорила с русским акцентом;https://knife.media/russian-minnie-mouse/;12:35;6 марта
19;В Европе нашли могилы первых в мире всадников;https://knife.media/worlds-first-horse-riders/;20:25;4 марта
20;История: китаец ограбил заправку на $23 и 14 лет прятался в пещере от полиции;https://knife.media/moufu-story/;20:50;3 марта
21;У морских птиц появилось новое заболевание. Его вызывает пластик;https://knife.media/plasticosis/;19:54;3 марта
22;Биоинженеры создали дополнительные пальцы для здоровых людей;https://knife.media/robotic-hand/;16:34;3 марта
23;В Ханты-Мансийске открылся международный фестиваль кинодебютов «Дух огня»;https://knife.media/spirit-of-fire/;15:55;3 марта
24;Поведение асоциальных рыб-ласточек разрушает коралловые рифы;https://knife.media/antisocial-damselfish/;15:27;3 марта
25;Исследование: маска для сна улучшает память и внимание;https://knife.media/sleep-mask/;13:03;3 марта
26;В России возобновили печать купюр номиналом 5 и 10 рублей;https://knife.media/ten-ruble/;12:37;3 марта
27;Илон Маск представил человекоподобного робота, который собирает других роботов;https://knife.media/tesla-robot/;12:06;3 марта
28;В Китае обнаружили древние коньки из бычьих костей Им 3,5 тысячи лет;https://knife.media/bone-ice-skates/;11:40;3 марта
29;Археологи нашли тайный тоннель в пирамиде Хеопса;https://knife.media/hidden-tunnel/;15:25;2 марта
30;Исследование: фламинго объединяются в группы с друзьями, как люди;https://knife.media/flamingos-friends/;14:32;2 марта
31;Ученые научились печатать биоматериалы прямо внутри человеческого организма;https://knife.media/print-inside-body/;12:57;2 марта
32;Исследование: цикадки мочатся без остановки, чтобы пить сок растений;https://knife.media/forever-pee/;12:27;2 марта
33;В Антарктике сняли редкую гигантскую медузу. Она похожа на инопланетное существо и прячется на глубине;https://knife.media/stygiomedusa-gigantea/;21:48;1 марта
34;Брутальные динозавры с шипованной броней кричали, как попугаи;https://knife.media/ankylosaurs-parrot/;20:31;1 марта
35;Исследование: занятия спортом борются с симптомами депрессии в полтора раза лучше лекарств;https://knife.media/sport-vs-depression/;18:19;1 марта
36;На острове Пасхи нашли нового каменного истукана. Он лежал на дне высохшего озера;https://knife.media/new-moai/;16:37;1 марта
37;Исследование: 11 минут ежедневных прогулок помогут избежать ранней смерти;https://knife.media/11-minutes-walk/;15:23;1 марта
38;Харуки Мураками в апреле выпустит новый роман впервые за шесть лет;https://knife.media/murakamis-novel/;15:17;1 марта
39;Ученые обнаружили необычный способ питания китов. Он напоминает о морских чудовищах из мифов;https://knife.media/mysterious-whales/;14:28;1 марта
40;В индийском храме священного слона заменили на механическую копию;https://knife.media/holy-elephant/;13:51;1 марта
41;Исследование: люди с маленьким доходом умирают раньше;https://knife.media/low-salary/;12:28;1 марта
42;В Италии нашли загадочное захоронение древней женщины. Она лежит лицом вниз с дырой от гвоздя в черепе;https://knife.media/nail-hole/;17:37;28 февраля
43;Ученые стали на шаг ближе к созданию «биокомпьютеров». Они будут использовать клетки человеческого мозга;https://knife.media/biocomputers/;14:53;28 февраля
44;На аукцион выставят одну из крупнейших коллекций техники Apple. В ней больше 500 ретроустройств;https://knife.media/apple-auction/;14:24;28 февраля
45;Исследование: человеческий мозг выглядит на несколько лет старше после одной ночи без сна;https://knife.media/brain-without-sleep/;13:58;28 февраля
46;Исследователи выяснили, почему клубника из своего огорода вкуснее магазинной;https://knife.media/strawberry-fields-forever/;13:12;28 февраля
